Author,Publication Year,Title,empirical_pro,empirical_con,Pro_opinion,critique & responses_opintion,comments,refs to papers not found in search,Manual Tags
"Allen, Christopher; Mehler, David M. A.",2019,"Open science challenges, benefits and tips in early career and beyond"," RRs are more likely to report null findings than traditional articles b/c  66% of RRRs  & 55% of RRs for non-replications are disconfirmatory vs 5-20% of convential articles BUT authors may choose RRs if think null findings are likely (Chambers, 2019)",,tbd,,,,empirical; include; RRs
Anonymous,2018,What next for registered reports,,,"RRs ""allows us to focus on the importance of a research question and the quality of the methods without ...being distracted by ... the results.""; RRs prevent pub bias b/c ensure all results are published; can feel ""truly collaborative"" b/c feedback can improve design; ","success of RRs depends on them being ""recognized as publications that transparently document the confirmatory, pre-planned nature of the research"" - RRs will only ""fulfil its promise"" if people can  compare stage 1 & stage 2s = both must be public",,,include_key
"Ansari, Daniel; Gervain, Judit",2018,Registered Reports: introducing a new article format in Developmental Science,,,"RRs prevent researchers being able or asked to p-hack or HARK b/c they must prereg questions & hypotheses; RRs encourage statistical rigour = limits false positives b/c mandate a power analyssi of 90%; feedback can improve design = ""arguably more constuctive forum for peer review"";  IPA = RRs incentive high-risk (costly or complicated),  high-gain developmental research b/c publication guarenteed'; RRs are an "" important venue for the replication"" = ensure developmental research is cumulative & test if theoretical models have strong empirical basis; the editors expect RRs to "" facilitate the publication of important discoveries in research on human development.""; Their aim of offering RRs is to meet researchers' desire to disseminate reesearch & advance knowledge ""in novel ways that focus on theory and method rather than on results, acknowledging the real contribution of “null results” and unexpected findings""",BUT RRs don't stile creativity b/c unplanned analyses welcome + minor deviations welcome if editor informed & disclosed,,,include_key_has_critique
"Bloomfield, Robert; Rennekamp, Kristina; Steenhoven, Blake",2018,No System Is Perfect: Understanding How Registration-Based Editorial Processes Affect Reproducibility and Investment in Research Quality,,,tbd,,,,empirical; include_key
"Campbell, Harlan; Gustafson, Paul",2018,Conditional equivalence testing: An alternative remedy for publication bias,,,RR prevents pub bias by mandating prereg with IPA; avoids file-drawing of null results b/c  RR journals publish abstracts of withdraw studies & mandate protocol adherence ; IPA prevents results-based rejection by editors & reviewers,"RR journals may become a ªdumping groundº [28] for null and ambiguous findings"" that's don’t advance science BUT RRs that mandate 90% (sometime 80%) power avoid this BUT this disadvantages researchers with limited resources or expensive techniques, excludes low powered studies which can provide value & learning potential, forces RRs that don't achieve sample size target to be rejected or given special compensation + ""power calculations are often flawed"" by changing anticipated effect size to affordable sample size & ""often ""wildely optimistic""[39]"" due to ""follow-up bias"" & ""illusion of power"" BUT RRs could have authors commit to attaining a certain Bayes Factor instead of a sample size (which some already do)",,,include_key_critique
"Chambers, Chris",2019,What's next for Registered Reports?,"""At the journal Cortex, where I serve as an editor, the acceptance rate for Stage 1 RRs that enter in-depth review is about 90%: more than double that of conventional articles. The publication rate at Stage 2 is currently 100%, with no withdrawals by authors."";  I have overseen numerous cases in which reviewers have intervened to prevent a serious flaw in a study design — adding crucial controls, ensuring the sample size is sufficient or explaining why the hypotheses or planned statistical analyses cannot really answer the research question. Even when a proposed design is sound, the review process often adds clarity and focus. In my experience, the reviewers find the process rewarding. One comment from a reviewer is typical of the informal feedback I receive: “If the authors can incorporate many of the suggestions from all of us reviewers, they will have a far better study than what they originally planned, which is really valuable and exciting. ; ""They cannot wait two to four months for a Stage 1 manuscript to complete peer review""; y."" RRs are popular with early-career researchers. For example, at Cortex, 78% of RR first authors (n=82) are PhD students or postdocs, compared with 67% in a control sample (n=57) of conventional articles. ""; ""Over the past six years, dozens of authors have told me —and written publicly — that they appreciate the more-predictable timeline of RRs"";  ""Stage 2 submissions almost always include further analyses.""; ""In my experience, the opposite [to people being locked into a bad protocol] is more likely: reviewers can prevent researchers from running less-informative experiments""; ""reviewers of Stage 2 manuscripts generally understand reasonable changes.""",,"IPA = authors don't need to present clean, compelling narrative of results; ""s. I hope RRs will become an option in all mainstream life- and social-science journals within ten years""; reviewers can improve the design; IPA benefits students b/c they can list publication earlier & more certainly than traditional submissions; shorter total time to publication b/c resubmission & requests of additional studies less likely; prevents researchers leaving reasonable & questionable changes unreported; prevents selective analysis reporting & HARKing","Unsuitable for non-hypothesis driven & methods development research; RRs ""intended only to strengthen the rigour and transparency"" of hypothesis-driven research BUT researchers must wait for IPA before collection = unsuitable if researchers can't wait (e.g. unpredicatble events or undergrad projects) or  ; RR are suitable for sequential studies where design depends on each others results BUT authors rarely do this maybe b/c multiple rounds of pre-study review is too time consuming instead authors submit a follow-up study to a series or submit a plan for the entire series; concern less flexible = constrains creativity & serendipity from data exploration BUT not true b/c unplanned analyses welcome; concern it locks researchers into adhering to poor quality protocol BUT this rarely happens (see empirical_pro); if journals publish Stage 2 manuscripts only readers can't compare it with protocol",,preprint (https://osf.io/5y8w7/) finds RRs are cited the same amount or higher than traditional articles,include_key
"Chambers, Christopher D.; Mellor, David T.",2018,Protocol transparency is vital for registered reports,"50% of 70 journals with permanent RR policies ""required protocol registration or routinely published the accepted protocols. Beginning in April 2018, we have contacted the editors of these journals to recommend updating their policies."". Fig 1. To date of the 88 permanent adopter ""the editorial policies of 68% (N = 60) now require protocol transparency, and an additional 8% (N = 7) have approved our recommendations and are pending publication of their revised policies. The remaining 24% (N = 21) do not visibly require protocol transparency and are either considering our recommendations or have not responded."" ""no editors have yet declined the update ... We will continue to pursue this matter and are confident of achieving near-total compliance, though journals are not obliged to follow our recommendations""",,,RR journals lack currently lack protocol transparency = readers can't compare protocol & publication BUT our contacting the editors was successful (see empirical); RR journals lack standardised protocol registration = protocols may unverifiable & confusing BUT new registry now offered on OSF & we are seeking unpublished protocols to pushish in it; no evidence of how RRs differ from traditional articles,,,empirical; include_key
"Cropley, Arthur",2018,Research as Artisanship versus Research as Generation of Novelty: The March to Nowhere,,,"IPA = prevents pub bias for novelty b/c ""solid, reliable style"" prefered to ""novel but risky substance"" b/cacceptance based on methodological quality NOT their possible contribution to scholarly thinking","One RR journal requires submissions provide ""labouraous explanations"" of methods which is important BUT ""it is hard for me to believe that the provision of such information takes precedence over the provision of novel —if risky—ideas""",,,include_key_critique
"Grand, James A.; Rogelberg, Steven G.; Banks, George C.; Landis, Ronald S.; Tonidandel, Scott",2018,From Outcome to Process Focus: Fostering a More Robust Psychological Science Through Registered Reports and Results-Blind Reviewing,"""Anecdotally, the analysis plan section appears to be the most angstprovoking out of concern that it connotes too much rigidity and unrealistic forethought (e.g., analyses cannot be completely specified as they are dependent on what is observed).""",,"RRs could improve research conduct, evaluation & interpretation + ""we believe they represent viable
methods for improving the robustness of [psychological] science that cannot be adequately addressed by current publication practices and thus merit consideration.""; pre-study review = shift focus of editorial decisons to ""the plausibility, importance, and soundness"" of research questions & methods not results = RRs ""likely the most rigorous and strict in engendering a
process focus"" compared to results-blind review b/c feedback can improve design which also minimises QRPs (HARKing, p-hacking, manipulating measures, selective analysis reporting); IPA reduces incentives for QRPs to get signfiicant results; encourages precise protocols; RRs = ""cleaner & more natural means for "" keeping confirmatory & exploratory analyses distinct = better interpretation of results; IPA may mitigate ""risk"" of investing time & resources into replications","Extent feedback informs design likely to vary across journals & subfields; need transparent practices & discussion of how much RR process should inform design (e.g. could mean questions/methods that challenge established beliefs are excluded); unsuitable for some research BUT RR can ""be adapted for quantitative inductive studies, traditional qualitative studies, and meta-analytic reviews with little to no loss of their benefits."" BUT adaptation may be challenging BUT probably possible;IPA for meta-analyses may be tricking in case number of primary sample is insufficient BUT could ask for evidence of number of studies/maturity of research topic; evalutating qualitative inductive may be hard BUT could ask for interview methodology & critiera for saturation; evaluating sequential studies may be hard esp if first study in sequence is exploratory BUT ask for contingencies if initial experiments fail/support main hypotheses or require multiple rounds of review; ambigious norms for evaluating potential importance/contribution; conern RRs limit discovery/revised thinking BUT welcome unplanned analyses BUT the focus on hypothesis & confirmatory theory testing in psychological science may mean RR authors, reviewers & editors have to ""train themselves on how to evaluate the utility of explroatory analyses .. to recognize that transparency is more beneficial to science than the packaging of findings into a nice and neat artificial box""; concern RRs = more null results BUT unsure if there will be more null results & they hypothesise that papers will get more mixed results & won't be ""overrun"" with null results = identifies future research needed to understand ""process mechanisms and boundary conditions of phenomena""; concern null results don't contribute BUTany results of well-designs studies of important phenomena can advance understanding; concern RRs are more effortful for authors & reviewers BUT they ""do not agree"" b/c stage one submissions are shorter than full manuscripts + may reduce time to publication b/c can reduce resubmission of flawed papers + review mission more focused at each stage + RR process  already familiar b/c similar to review process of grant & dissertation proposals; RRs can have flawed power calculations if authors estimate larger effect sizes to avoid large sample requirements; review practices could still be unrelated to research quality; reviewers & editors could be too influential in design; RRs can't eliminate gaming the system for publication BUT it can reduce the need for it b/c shifts focus from results to methods & questions",,,include_key
"Greiff, Samuel; Allen, Mark S.",2018,EJPA Introduces Registered Reports as New Submission Format,,,"pre-study review aligns scientific values & practice; prereg helps eliminate selective data & analysis reporting + HARKing; pre-study review = more reproducible + prevents biased review from pre-existing beliefs influencing interpretation of study results (e.g. biasvs null results of suposedly established phenomena/methods) = one of the core reasons they are now offering RRs; IPA = removes worry that results will prevent publication; ""The decision to offer ... RRs is part of an overarching strategy to increase transparency and accountability.""; ",concern RRs prevent data exploration BUT unplanned analyses welcome; unsuitable for some research,,,include_key
